hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
25475109,VIP Executive Art's Hotel,Lisbon,38.773046,-9.097921,VIP Executive,300,4
25475119,Luitpoldpark Hotel,Füssen,47.569856,10.698602,,131,4.0
25475333,Crowne Plaza Geneva by IHG,Cointrin,46.224867,6.106875,Crowne Plaza,366,4.5
25475403,Occidental Paris Levallois,Levallois-Perret,48.898422,2.281562,Occidental Hotels & Resorts,338,4
25475573,Riessersee Hotel,Garmisch-Partenkirchen,47.479918,11.080951,,152,4
25475805,Ramada by Wyndham Dresden,Dresden,51.008179,13.768148,Ramada Worldwide,262,4.0
25476748,AC Hotel by Marriott Innsbruck,Innsbruck,47.262516,11.395660,AC by Marriott,187,4
25477018,Barceló Granada Congress,Granada,37.167080,-3.607835,Barceló Hotels,253,5
25477126,Copenhagen Island Hotel,Copenhagen,55.663414,12.563328,Arp-Hansen Hotel Group,326,4.5
25477774,Hotel Union Geiranger Bad & Spa,Geiranger,62.096637,7.210557,,197,4
25478188,Hotel TRH Paraiso,Estepona,36.476075,-5.028895,TRH Hotels,171,4
25478444,Hotel Córdoba Center,Cordoba,37.892221,-4.783741,Hoteles Center,208,4
25478776,Mövenpick Hotel Frankfurt City,Frankfurt,50.109791,8.651041,Mövenpick Hotels & Resorts,288,4.0
25479082,Pullman Paris La Défense,Courbevoie,48.894963,2.239226,Pullman Hotels & Resorts,382,5
25479306,Clarion Congress Hotel Ceske Budejovice,Ceske Budejovice,48.981920,14.472623,Clarion,205,4
25479367,Grand Hotel Park,Dubrovnik,42.655274,18.073002,,244,4
25479803,Hotel TRH La Motilla,Dos Hermanas,37.287987,-5.944143,TRH Hotels,101,4
25480846,Hotel Macià Real de La Alhambra,Granada,37.163458,-3.570744,Macia Hotels,185,4
25481634,Novotel Paris La Défense Esplanade,La Défense,48.887901,2.252944,Novotel,280,4
25481957,Hotel Abades Nevada Palace,Granada,37.152125,-3.591533,,235,4
25484878,VIP Grand Lisboa Hotel & Spa,Lisbon,38.742254,-9.149259,VIP Grand,295,5
25485050,Best Western Plus Hotel Le Favaglie,Cornaredo,45.486991,9.031153,Best Western Plus,112,4
25486765,Van Der Valk Hotel Brussels Airport,Diegem,50.887570,4.452687,Van der Valk Hotels,246,4
25488170,Melia Granada Hotel,Granada,37.173132,-3.598427,Meliá,181,4
25488406,Nilhotel Firenze,Florence,43.799053,11.227011,,246,4
25488912,Just Hotel Lomazzo Fiera,Lomazzo,45.709866,9.024941,,188,4
25488957,Hotel Sao Jose,Fatima,39.628712,-8.676637,,76,4
25489046,Novotel Geneve Centre,Geneva,46.211433,6.147362,Novotel,206,4
25489234,Novotel Krakow Centrum,Kraków,50.054766,19.925977,Novotel,198,4
25490758,Macdonald Old England Hotel & Spa,Cumbria,54.364127,-2.921961,Macdonald Hotels & Resorts,106,4
25492807,Hotel More,Dubrovnik,42.657162,18.066158,,76,5
25493783,DoubleTree by Hilton Hotel Leeds City Centre,Leeds,53.793263,-1.549846,DoubleTree by Hilton,333,4
25493869,Ramada by Wyndham Chorley South,Chorley,53.630192,-2.692372,Ramada Worldwide,72,2
25496850,Scandic Hakaniemi,Helsinki,60.179048,24.949679,Scandic Hotels,152,3.5
25497278,Scandic Oslo Airport,Gardermoen,60.185668,11.064646,Scandic Hotels,243,4
25500790,Holiday Inn Milan Nord Zara by IHG,Cinisello Balsamo,45.553029,9.241951,Holiday Inn,128,4
25501473,ibis Paris Issy Les Moulineaux Val de Seine,Issy-les-Moulineaux,48.822411,2.257782,ibis,164,3
25504226,NH Stuttgart Airport,Filderstadt,48.661418,9.223858,NH Hotels,208,4
25504937,AC Hotel Bella Sky Copenhagen,Copenhagen,55.639400,12.578182,AC by Marriott,811,4.5
25505957,Hotel Indigo Liverpool City Centre by IHG,Liverpool,53.407875,-2.993361,Hotel Indigo,151,4
25506839,Scandic Paasi,Helsinki,60.178580,24.948078,Scandic Hotels,170,4
25507044,ibis budget Brussels Airport,Diegem,50.882277,4.437027,ibis Budget,187,4
25516461,Hilton Garden Inn Davos,Davos,46.801523,9.832259,Hilton Garden Inn,146,4
25520679,Thermalhotels & Walliser Alpentherme Spa,Leukerbad,46.378727,7.629940,Lindner Hotels & Resorts,135,3.5
