hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
25462705,Wyndham Garden Düsseldorf Mettmann,Mettmann,51.256389,6.952043,Wyndham Garden,136,4.0
25462868,Holiday Inn Prague,Prague,50.061055,14.427275,Holiday Inn,254,3.5
25463052,Best Western CTC Hotel Verona,San Giovanni Lupatoto,45.398880,11.015772,Best Western Hotels & Resorts,203,4
25465193,Elite Palace Hotel & Spa,Stockholm,59.346298,18.039465,Elite Hotels of Sweden,284,4.5
25465491,Albani Hotel Roma,Rome,41.915420,12.498421,,154,4
25465869,Best Western Plus Hotel Bologna,Mestre,45.482913,12.231978,Best Western Plus,125,4
25465962,Leonardo Hotel & Residenz München,Munich,48.113776,11.583832,Leonardo Hotels,270,4
25465980,Hotel Macia Sevilla Kubb,Seville,37.390491,-5.983366,Macia Hotels,134,4
25466176,Grand Hotel des Bains Kempinski St. Moritz,St. Moritz,46.482617,9.833808,Kempinski Hotels,184,5
25466461,Elite Hotel Savoy,Malmö,55.607669,13.000155,Elite Hotels of Sweden,190,4.0
25466569,Ramada by Wyndham Oxford,Oxford,51.737726,-1.096113,Ramada Worldwide,83,3
25466726,Villa Pace Park Hotel Bolognese,Preganziol,45.633310,12.241366,Best Western Hotels & Resorts,95,4
25467364,Madrid Marriott Auditorium Hotel &amp; Conference Center,Madrid,40.449096,-3.558696,Marriott,869,4
25467427,NH Atlanta Rotterdam,Rotterdam,51.921074,4.479108,NH Hotels,215,4
25468317,Royal Plaza Montreux,Montreux,46.440089,6.902812,,155,5
25468422,Le Mirador Resort & Spa,Mont-Pélerin,46.481449,6.827099,Kempinski Hotels,63,5
25468454,Grand Hotel Barone Di Sassj,Sesto San Giovanni,45.537705,9.230688,,147,4
25468573,Hotel Duo & Wellness,Prague,50.126741,14.485914,,649,4
25468603,Novotel Paris Roissy CDG Convention,Roissy-En-France,48.998863,2.517582,Novotel,295,4
25469199,Sheraton Rome Parco de’ Medici,Rome,41.815540,12.409192,Sheraton,782,4
25469269,Occidental Praha,Prague,50.043460,14.439415,Occidental Hotels & Resorts,230,4
25469478,K+K Hotel Central Prague,Prague,50.087067,14.430886,K + K Hotels,127,4.0
25469944,Novotel Roma Est,Rome,41.913611,12.617992,Novotel,149,4
25470008,Parc Hotel Alvisse,Luxembourg,49.639948,6.154065,,320,4.5
25470221,AC Hotel Sevilla Fórum by Marriott,Sevilla,37.408014,-5.945824,AC by Marriott,144,4
25470447,Hotel Santa Maria,Ourem,39.629002,-8.672648,,173,4
25470568,L'Hôtel du Collectionneur Paris,Paris,48.876791,2.307588,Hilton Hotels,496,5
25470674,Novotel Venezia Mestre Castellana,Mestre,45.503144,12.234373,Novotel,215,4
25471192,Hotel Nord Nuova Roma,Rome,41.901031,12.498300,,157,3
25471479,Best Western Plus Park City Solna,Solna,59.359595,18.000632,Best Western Plus,256,4.0
25471853,Mercure Paris Gare Montparnasse TGV,Paris,48.837810,2.318469,Mercure,354,4
25472322,Charme,Prato,43.858113,11.098142,,72,4
25472360,Hotel Delfino Venezia Mestre,Mestre,45.484346,12.241632,,126,4
25473086,ibis Styles Luzern,Luzern,47.056733,8.311789,ibis Styles,115,3
25473105,Hotel Mas Camarena,Paterna,39.546786,-0.455351,,143,4
25473534,Antony Hotel - Venice Airport,Mestre,45.487190,12.299177,,114,4.5
25473566,"Radisson Blu Hotel, Prague",Prague,50.077371,14.422441,Radisson Blu,160,5
25473939,Precise House Montaperti Siena,Siena,43.300910,11.423570,,95,4
25474362,Hotel Puerta América,Madrid,40.440662,-3.670057,,315,5
25475240,Santa's Hotel Santa Claus,Rovaniemi,66.502594,25.732448,,170,4
25475713,Original Sokos Hotel Viru,Tallinn,59.436606,24.754997,Sokos Hotels,516,4
25476231,Grandium Hotel Prague,Prague,50.082239,14.429877,,365,4
25476380,American Hotel,Pozzuoli,40.827724,14.155428,,104,4
25476499,pentahotel Reading,Reading,51.454983,-0.978084,Pentahotels,206,4
25476761,Hotel Panorama,Lourdes,43.096181,-0.054894,Vinuales hotels,106,4
25476763,Hotel Saint Sauveur,Lourdes,43.096126,-0.054575,Vinuales hotels,168,3
25476785,Hotel La Solitude,Lourdes,43.095976,-0.052843,Vinuales hotels,293,4
25477656,"Radisson Blu Hotel, Lucerne",Lucerne,47.048005,8.313913,Radisson Blu,189,4.5
25477683,Hotel Diana Roof Garden,Rome,41.900776,12.497302,,166,4
25478370,Four Points by Sheraton Siena,Siena,43.340969,11.326030,Four Points,136,4
25479106,Mercure Paris CDG Airport & Convention,Roissy-en-France,49.007508,2.548967,Mercure,345,4
25479321,Crowne Plaza Lyon - Cité Internationale by IHG,Lyon,45.785550,4.857222,Crowne Plaza,156,4
25479342,Radisson RED Madrid,Madrid,40.409959,-3.693726,Radisson RED,260,4
25479373,Grand Hotel Beauvau Marseille Vieux-Port - MGallery Collection,Marseille,43.295019,5.374744,MGallery,73,4
25479498,Dorint Main Taunus Zentrum Frankfurt Sulzbach,Sulzbach/Taunus,50.123555,8.519878,Dorint Hotels & Resorts,282,4.5
25480439,Rome Marriott Park Hotel,Rome,41.825235,12.391634,Marriott,601,4
25480444,Courtyard by Marriott Munich City Center,Munich,48.137261,11.559607,Courtyard by Marriott,248,4
25482437,Precise House Mantegna Roma,Rome,41.852769,12.495500,,323,4
25482522,ROMANICO PALACE LUXURY HOTEL & SPA,Rome,41.908520,12.493606,,99,4
25482652,Hotel Roma Tor Vergata,Rome,41.865987,12.630439,,211,4
25483272,Courtyard By Marriott Pilsen,Plzen,49.748456,13.381886,Courtyard by Marriott,195,4
25483334,Atrium Hotel,Split,43.518509,16.447392,,124,5
25483414,Clarion Congress Hotel Prague,Prague,50.109901,14.501567,Clarion,559,4
25484678,Zentral Castellana Norte,Madrid,40.488138,-3.668268,Occidental Hotels & Resorts,144,4
25485069,Crowne Plaza Milan - Malpensa Airport by IHG,Somma Lombardo,45.642363,8.708498,Crowne Plaza,133,4
25486148,Hotel Inn Paris CDG Airport,Roissy-en-France,49.005800,2.521500,,244,4
25486152,Mercure Paris 19 Philharmonie La Villette,Paris,48.888836,2.394236,Mercure,182,4
25487217,Alexandre FrontAir Congress,Sant Boi De Llobregat,41.329713,2.049985,,239,4
25487545,Crowne Plaza Padova by IHG,Padova,45.454160,11.856895,Crowne Plaza,177,4
25488219,NH Paris Gare de l'Est,Paris,48.875872,2.358971,NH Hotels,207,4
25488224,DoubleTree by Hilton Milan,Milan,45.500880,9.138093,DoubleTree by Hilton,240,4
25488417,Van der Valk Hotel Rotterdam-Blijdorp,Rotterdam,51.927063,4.441394,Van der Valk Hotels,189,4.5
25488678,Crowne Plaza Brussels Airport by IHG,Machelen,50.890920,4.459674,Crowne Plaza,315,4
25488813,H10 Roma Città,Rome,41.867140,12.471578,H10 Hotels,181,4.0
25489037,Mercure Paris Massy Gare TGV,Massy,48.727507,2.264840,Mercure,116,4
25489132,Crowne Plaza Hotel Manchester City Centre by IHG,Manchester,53.485752,-2.236625,Crowne Plaza,228,4
25489225,Hotel Diagonal Plaza,Saragossa,41.642650,-0.993057,Santos Hotels,176,4
25489336,Holiday Inn Mulhouse by IHG,Mulhouse,47.735767,7.290509,Holiday Inn,80,4
25489493,UNA Hotels Expo Fiera Milano,Pero,45.502334,9.087100,,527,4
25489978,Vienna House Easy by Wyndham Pilsen,Pilsen,49.746016,13.386845,Wyndham Hotels,144,4
25491107,Santa's Hotel Tunturi,Saariselkä,68.420917,27.427490,,260,4
25491518,Grandior Hotel Prague,Prague,50.090142,14.436013,,387,5
25492425,Courtyard by Marriott Toulouse Airport,Saint Martin Du Touch - Toulouse,43.607651,1.370178,Courtyard by Marriott,187,4
25492499,City Hotel Dresden Radebeul,Radebeul,51.105482,13.673446,GCH Hotel Group,126,3.5
25495557,Grand Hotel Duca di Mantova,Sesto San Giovanni,45.550227,9.256791,,162,4
25495712,UNA Hotels Decò Roma,Rome,41.900100,12.499980,Una Hotels,197,4
25497106,Tailormade Hotel SIHLPARK Schindellegi,Schindellegi,47.168039,8.727479,Holiday Inn,78,3.5
25497148,Pisa Tower Plaza,Pisa,43.722675,10.378994,,121,5
25500167,Occidental Praha Five,Prague,50.066730,14.402534,Occidental Hotels & Resorts,134,4
25501207,NH Luxembourg Airport,Niederanven,49.637293,6.218871,NH Hotels,148,4
25503167,Hotel YIT Vía Sevilla Mairena,Mairena del Aljarafe,37.349589,-6.051043,YIT Hoteles,119,4
25504267,NH Madrid Ribera del Manzanares,Madrid,40.406266,-3.721753,NH Hotels,224,4
25504872,MOVE Hotels Venezia Nord,Mogliano Veneto,45.584341,12.286211,DoubleTree by Hilton,203,4
25506392,Scandic Grand Central,Stockholm,59.333787,18.056014,Scandic Hotels,391,4
25508181,Nira Alpina - Member of Design Hotels,Silvaplana,46.454714,9.814502,,70,4.5
25516085,Hotel Kyriad Prestige Mulhouse - Basel,Sausheim,47.782513,7.387949,Kyriad Prestige,99,4
25516313,"Elite Hotel Ideon, Lund",Lund,55.717695,13.213872,Elite Hotels of Sweden,178,4
25520384,NH Maastricht,Maastricht,50.837755,5.713900,NH Hotels,277,4.5
25520582,Warmthotel,Rome,41.812571,12.475334,,160,4
25541981,"The Marble Arch Hotel, by Thistle",London,51.514386,-0.156414,Thistle Hotels,692,4
25542001,The Cumberland,London,51.513773,-0.158910,Guoman Hotels,900,4
25550281,The Caesar Roma,Rome,41.868790,12.411840,,229,4.0
25558281,Les Jardins du Marais,Paris,48.860545,2.368003,,265,4
25558441,Le patio Bastille,Paris,48.849336,2.390439,Best Western Hotels & Resorts,88,3
25559701,Aparthotel Adagio La Défense Esplanade,Paris,48.887353,2.248194,Adagio by Accor,99,4.0
25608001,Residence Inn by Marriott Munich City East,Munich,48.131530,11.608638,Residence Inn by Marriott,125,4
25852461,Hotel Paradis,Lourdes,43.093525,-0.053135,,298,4
25878161,Q7 Lodge Lyon 7,Lyon,45.739833,4.833121,Quality Hotels,97,4
25913161,Scandic Star Sollentuna,Sollentuna,59.426840,17.951387,Scandic Hotels,270,4
25997861,Best Western Hotel Brussels South,Ruisbroek,50.776023,4.300825,Best Western Hotels & Resorts,75,3.0
26014481,Quality Hotel Globe,Stockholm,59.292783,18.083831,Nordic Hotels,527,4
26033701,Hôtel des Bains de Saillon,Saillon,46.173277,7.195254,,145,4
26053821,Hotel Sempachersee,Nottwill,47.139935,8.128000,Swiss Quality Hotels,150,4
26092661,Parkhotel du Sauvage,Meiringen,46.726556,8.187853,,60,4
26114921,Grand Hotel Europe,Luzern,47.055761,8.324867,,177,4
26134581,Hotel Continental Park,Luzern,47.048612,8.308978,,86,4
26168641,HF Ipanema Park,Porto,41.154675,-8.649970,,281,5
26178061,Hotel Cinquentenário & Conference Center,Ourem,39.629313,-8.671025,,202,4
26180061,Artheus Carmelitas Salamanca,Salamanca,40.968081,-5.667246,,69,4
26197341,Prinzhotel Rothenburg,Rothenburg o.d. Tauber,49.377738,10.184010,,52,4
26200581,HF Ipanema Porto,Porto,41.152600,-8.629853,,150,4
26200641,Clarion Hotel Amaranten,Stockholm,59.331345,18.044813,Nordic Hotels,461,4
26230701,Hotel Traube Rüdesheim,Rüdesheim am Rhein,49.977838,7.919612,,112,0.0
26232081,The REMIX hotel,Paris,48.896941,2.385244,,259,4
26234061,Original Sokos Hotel Vaakuna Rovaniemi,Rovaniemi,66.502072,25.736353,Sokos Hotels,159,4
26242241,Hotel San Gian,Sankt Moritz,46.484580,9.834695,,50,4
26326801,Hotel Laudinella,St. Moritz,46.485967,9.837353,,65,4.0
26334781,Lapland Hotels Riekonlinna,Saariselkä,68.421471,27.426216,Hand Picked Hotels,232,3.5
26530179,"Madrid Airport Suites, Affiliated by Meliá",Madrid,40.445617,-3.543173,Meliá,549,3.5
26652061,Hôtel Nendaz 4 Vallées & Spa,Nendaz,46.180971,7.290163,,62,4.5
26659501,Hotel Reine Victoria,St. Moritz,46.485205,9.835849,,147,4
27184181,Holiday Inn Express Strasbourg - Centre by IHG,Strasbourg,48.571623,7.745827,Holiday Inn Express,148,3
27201361,"FourSide Hotel Salzburg Messe, Trademark Collection by Wyndham",Salzburg,47.822047,13.027733,Trademark Collection by Wyndham,165,4
27206401,Scandic Stavanger City,Stavanger,58.970522,5.743697,Scandic Hotels,226,4
27321081,Scandic No 53,Stockholm,59.334253,18.059174,Scandic Hotels,274,3
27523381,Hôtel Forest Hill Paris Meudon-Vélizy,Meudon-la-Forêt,48.784864,2.225223,,171,4
28017581,Hotel Arcade,Sins,47.187400,8.396722,,63,3
28979601,Golf Depandance,Prague,50.067500,14.344678,,45,4
29050041,BLEECKER Hotels,Novi Beograd,44.811638,20.387591,,95,3.5
29405861,Hilton Garden Inn Malaga,Málaga,36.689190,-4.459969,Hilton Garden Inn,155,4
29626221,Santa's Hotel Rudolf,Rovaniemi,66.505298,25.718957,,41,3
30259913,Hôtel Lodge In Paris 13,Paris,48.821037,2.376333,,145,3
30260319,Pullman Paris Roissy CDG Airport,Roissy,49.010702,2.562033,Pullman Hotels & Resorts,305,4
30278272,Santa's Hotel Aurora & Igloos,Luosto,67.154844,26.911655,,40,2.5
30295246,Bären Sigriswil,Sigriswil,46.717175,7.712423,,29,4
30295617,HUUS Gstaad,Saanen-Gstaad,46.493254,7.267145,,136,4.5
30295901,Hotel The Building,Rome,41.907679,12.503067,,108,4
30301569,Boutet Bastille Hotel Paris - MGallery Collection,Paris,48.851894,2.383767,MGallery,80,5
30310115,Four Points by Sheraton Venice Mestre,Mestre,45.514440,12.231580,Four Points,168,4
30337115,Elite Hotel Carolina Tower,Solna,59.348627,18.030750,Elite Hotels of Sweden,221,4
30342638,"Staycity Aparthotels, Marseille, Centre Vieux Port",Marseille,43.300317,5.374407,,108,3
30345054,Northern Lights Village Saariselkä,Saariselkä,68.423260,27.408290,,80,4
30371861,NH Collection Marseille,Marseille,43.302421,5.368634,NH Hotels,176,4
30377094,NYX Hotel Munich by Leonardo Hotels,Munich,48.102316,11.529844,Leonardo Hotels,225,4
30421385,Hotel Jezero Plitvice Lakes,Plitvička Jezera,44.884405,15.618966,,229,3
30421926,Villa Fiorita,Monastier di Treviso,45.654700,12.427476,,136,4
30461714,Santa's Igloos Arctic Circle,Rovaniemi,66.543039,25.859449,,71,5
30475062,Courtyard by Marriott Munich Garching,Muenchen,48.264807,11.672290,Courtyard by Marriott,256,4
30495839,Briig Boutique Hotel,Split,43.503340,16.445930,,62,4
30533579,Best Western Plus Aby Hotel,Mölndal,57.650899,12.003262,Best Western Plus,223,4
30533596,Courtyard by Marriott Oxford South,Milton,51.619811,-1.300903,Courtyard by Marriott,170,4
30534443,Hilton Garden Inn Zurich Limmattal,Spreitenbach,47.418000,8.377466,Hilton Garden Inn,116,4
30552640,AMERON Neuschwanstein Alpsee Resort & Spa,Schwangau,47.554416,10.737626,,136,4.5
30564739,Amphora Hotel,Split,43.502900,16.480600,,206,4
30574863,"ANDAZ MUNICH SCHWABINGER TOR, BY HYATT",Munich,48.171661,11.586402,Andaz,554,5
30575853,nhow London,London,51.529480,-0.097250,nhow,190,4
30579699,Leonardo Royal Hotel Venice Mestre,Mestre,45.481580,12.237940,Leonardo Hotels,243,4
30643747,Hilton Garden Inn Massy,Massy,48.725486,2.262003,Hilton Garden Inn,152,4
30664328,Arctic SnowHotel & Glass Igloos,Rovaniemi,66.638211,25.342707,,30,2.5
30680049,YOTEL Porto,Porto,41.153679,-8.608781,,150,4
30843558,"Radisson Blu Hotel, Rouen Centre",Rouen,49.446586,1.094210,Radisson Blu,93,4.0
30865104,Myrkdalen Resort Hotel,Myrkdalen,60.856632,6.490977,,111,4
31022139,Moxy Sion,Sion,46.230681,7.384391,Moxy,143,3
31084237,IntercityHotel Zurich Airport,Ruemlang,47.451931,8.538656,,260,4
31096919,Appart'City Collection Saint Germain en Laye,Saint-Germain-en-Laye,48.903147,2.073494,Appart'city,146,4
31129685,Too Hotel & Spa Paris - MGallery Collection,Paris,48.825133,2.383124,,134,4
31152833,Renaissance Porto Lapa Hotel,Porto,41.157726,-8.614373,,163,4.5
31153310,harry’s home Zürich-Limmattal,Spreitenbach,47.424839,8.369596,,95,4
31159089,Tribe Paris Saint Ouen,Saint-Ouen,48.913823,2.335962,,109,4
31204345,Appart'city Paris Collection Paris Roissy CDG Airport,Roissy-en-France,48.999288,2.510068,,265,4
31212608,Hotel Porta Cervino,Taesch,46.069396,7.776718,,41,4.0
31228787,Novotel Paris La Défense Nanterre,Nanterre,48.896309,2.219330,,0,4.0
hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
31145429,IntercityHotel Geneva,Vernier,46.220012,6.103126,,270.0,4
25505803,Crowne Plaza Verona Fiera by IHG,Verona,45.410778,10.970132,Crowne Plaza,160.0,4
25470625,NH Vienna Airport Conference Center,Vienna,48.121676,16.562863,NH Hotels,499.0,4
25475568,Renaissance®  Vienna Schönbrunn Hotel,Vienna,48.184332,16.329946,Renaissance Hotels,305.0,4
25451315,NH Danube City,Vienna,48.235307,16.421919,NH Hotels,252.0,4.5
25437369,The Westin Zagreb,Zagreb,45.806864,15.964186,Westin,349.0,5
25439287,Mercure Paris Porte de Versailles Expo,Vanves,48.827043,2.291358,Mercure,388.0,4
25439288,Scandic Ishavshotel,Tromsø,69.649446,18.961941,Scandic Hotels,214.0,3
25439720,"CHC Continental, BW Premier Collection",Venice,45.442272,12.323870,BW Premier Collection,93.0,4
25439877,Scandic Helsinki Aviapolis,Vantaa,60.297297,24.961807,Scandic Hotels,306.0,4
25441409,Splendid Venice – Starhotels Collezione,Venice,45.435894,12.337475,Starhotels,165.0,4
25443416,Crowne Plaza Zürich by IHG,Zürich,47.380189,8.506329,Crowne Plaza,365.0,4
25444455,Hotel Carlton on the Grand Canal,Venice,45.439944,12.321870,,150.0,4
25445220,Sheraton Zagreb Hotel,Zagreb,45.807610,15.984525,Sheraton,306.0,5
25445230,Hotel Am Konzerthaus - MGallery Collection,Vienna,48.199693,16.377418,MGallery,208.0,4.5
25445843,ARCOTEL Wimberger Wien,Vienna,48.200486,16.338429,Arcotel Hotels,225.0,4
25446234,Novotel Wroclaw Centrum,Wroclaw,51.098355,17.024328,Novotel,191.0,4
25447108,Mercure Warszawa Centrum,Warsaw,52.230752,21.001082,Mercure,338.0,4
25448475,Hotel Beatriz Toledo Auditorium & Spa,Toledo,39.877576,-4.041735,,295.0,4
25449198,Scandic Tampere Hämeenpuisto,Tampere,61.492984,23.754045,Scandic Hotels,178.0,3
25449199,Scandic Tampere Koskipuisto,Tampere,61.499076,23.766037,Scandic Hotels,289.0,3
25451011,Grand Hotel Zagreb,Zagreb,45.799092,15.878840,,163.0,4.0
25451321,InterContinental Vienna by IHG,Vienna,48.201997,16.379076,InterContinental Hotels & Resorts,392.0,5
25456410,Belstay Venezia Mestre,Venice,45.474334,12.213580,Holiday Inn,188.0,4
25456916,Sol Principe,Torremolinos,36.631432,-4.490163,Sol Hotels & Resorts,799.0,4
25457721,ibis Zurich Messe-Airport,Zurich,47.415725,8.559079,ibis,252.0,3
25457770,Skyline Airport Hotel,Vantaa,60.288992,24.950101,,214.0,3.5
25458239,Hilton Garden Inn Marseille Provence Airport,Vitrolles,43.446500,5.227440,Hilton Garden Inn,178.0,4
25458492,Scandic Helsinki Aviacongress,Vantaa,60.296494,24.961742,Scandic Hotels,278.0,3
25458739,Mercure Tours Centre Gare et Congrès,Tours,47.386844,0.697809,Mercure,92.0,4
25460934,ibis Styles Tours Centre,Tours,47.379484,0.691996,ibis Styles,119.0,3
25465330,Holiday Inn Toulouse Airport by IHG,Toulouse - Blagnac,43.638921,1.376955,Holiday Inn,150.0,4
25467900,Le Grand Hotel Tours,Tours,47.389882,0.692554,,105.0,4
25468465,Zonar Zagreb by Maistra City Vibes,Zagreb,45.805802,15.952556,,285.0,4
25468550,The Westin Warsaw,Warsaw,52.235634,20.996673,Westin,366.0,5
25469888,Ramada by Wyndham Wakefield,Wakefield,53.682934,-1.548378,Ramada Worldwide,100.0,3
25471611,SOWELL HÔTELS Le Beach,Trouville-sur-Mer,49.365559,0.077345,Soleil Vacances,110.0,4
25472098,NH Valencia Las Artes,Valencia,39.455696,-0.357406,NH Hotels,174.0,4
25472478,"Grand Hotel Belvedere, a Beaumier Hotel",Wengen,46.608809,7.919190,,90.0,5.0
25474542,"Hotel Bristol, a Luxury Collection Hotel, Vienna",Vienna,48.202485,16.370294,Luxury Collection,150.0,5
25476777,Hilton Molino Stucky Venice,Venice,45.428413,12.319992,Hilton Hotels,379.0,5
25477816,Hôtel Mercure Lyon Centre Charpennes Parc De La Tête d'Or,Villeurbanne,45.770903,4.863395,Mercure,98.0,4
25477979,Santana Hotel & Spa,Vila Do Conde,41.350731,-8.735413,,75.0,4
25480193,Novotel Warszawa Centrum,Warsaw,52.229268,21.013417,Novotel,742.0,4
25480492,Hotel International by Maistra City Vibes,Zagreb,45.799052,15.974137,,207.0,4
25486161,Ruissalo Spa Hotel,Turku,60.426620,22.102400,,170.0,4
25488664,Hotel Senator,Vienna,48.219551,16.325431,,179.0,4
25488673,Hotel Rainers,Vienna,48.179243,16.362376,,179.0,4
25493062,von Stackelberg Hotel Tallinn,Tallinn,59.434709,24.732947,,54.0,4
25495118,Hotel Porcel Avant Torrejon,Torrejón de Ardoz,40.445580,-3.488200,Hoteles Porcel,78.0,3
25500343,Walton Hall Hotel & Spa by Sunday,Walton,52.169334,-1.582142,Mercure,149.0,4
25505112,Hotel Kolovare,Zadar,44.105496,15.235720,,203.0,4
25738521,Hotel Derby,Zermatt,46.022651,7.747386,,28.0,3
25880381,Hotel Baia Azzurra,Taormina,37.855779,15.300254,,50.0,3.5
25907681,NH Weinheim,Weinheim,49.543040,8.647664,NH Hotels,187.0,4
26118821,Senator Parque Central Hotel,Valencia,39.457589,-0.375504,,192.0,4
26134761,Alpen Resort & Spa Zermatt,Zermatt,46.026207,7.751883,Best Western Hotels & Resorts,26.0,4
26174041,Antares Hotel,Zermatt,46.015674,7.743246,,36.0,4
26174181,Boutique Hotel Albana Real - Restaurants & Spa,Zermatt,46.017981,7.747670,,38.0,4
26196641,Hotel Ambassador Zermatt,Zermatt,46.025046,7.749800,,84.0,4
26200921,Austria Trend Hotel Ananas,Vienna,48.191636,16.354517,Austria Trend Hotels,522.0,3.5
26204861,Austria Trend Hotel Bosei,Vienna,48.162940,16.340393,Austria Trend Hotels,202.0,4
26228541,Hotel Villa Esperia,Taormina,37.857079,15.300422,,60.0,4
26292201,Feringapark Hotel by Coffee Fellows Hotels,Unterfoehring,48.178868,11.632258,,175.0,4
26318921,Break Sokos Hotel Flamingo,Vantaa,60.290824,24.969830,Sokos Hotels,309.0,4
26328501,Mont Cervin Palace,Zermatt,46.021055,7.747266,Leading Hotels Of The World,150.0,5
26375381,The Christiania Mountain & Spa Resort,Zermatt,46.023381,7.752706,,72.0,4
26419361,Eventhotel Pyramide,Vösendorf,48.113148,16.312557,Austria Trend Hotels,458.0,4
26498121,"National Zermatt – Matterhorn Views, Sunnegga Gateway & SPA",Zermatt,46.022782,7.751334,,54.0,4.5
26655461,Swiss Alpine Hotel Allalin,Zermatt,46.019068,7.747568,,30.0,4
26655701,Hotel Elite,Zermatt,46.021355,7.748567,,21.0,3
26716741,Hotel YIT Conquista de Toledo,Toledo,39.857567,-4.021886,YIT Hoteles,45.0,3
26799441,Hotel Matterhorn Inn,Täsch,46.067144,7.775911,,29.0,3
27164281,Alpenblick,Zermatt,46.017231,7.744175,,40.0,3.0
27611161,Park Hotel Zug,Zug,47.172195,8.518911,,109.0,4
27684201,Hotel Seepark Thun,Thun,46.745120,7.633823,,91.0,4
28774541,Grand Hôtel et Centre Thermal,Yverdon-les-Bains,46.771486,6.649523,,115.0,4.0
29251721,"Kameha Grand Zurich, Autograph Collection",Zürich,47.422580,8.558612,Autograph Collection Hotels,245.0,4.5
29747921,Brakanes Hotel,Ulvik,60.566561,6.914336,,142.0,4
30297790,Hotel YIT Vereda Real,Valencina de la Concepción,37.404232,-6.076816,YIT Hoteles,67.0,4
30340506,Holiday Inn Villingen - Schwenningen by IHG,Villingen-Schwenningen,48.062913,8.500917,Holiday Inn,167.0,4
30526048,Mercure Zürich City,Zürich,47.393393,8.484563,Mercure,319.0,4
30560954,harry's home Zürich Wallisellen,Wallisellen,47.415620,8.588970,,123.0,3
30630348,Hilton Garden Inn Zagreb - Radnicka,Zagreb,45.804348,15.998643,Hilton Garden Inn,153.0,4
30632289,Naco Aparthotel by Arca Spa,Zermatt,46.025930,7.750742,,25.0,4
30651678,Scandic Voss,Voss,60.628700,6.410357,Scandic Hotels,215.0,4
30669741,"Boeira Garden Hotel Porto Gaia, Curio Collection by Hilton",Vila Nova de Gaia,41.127980,-8.612567,Curio Collection by Hilton,124.0,5
30710669,Hotel Albatros Zermatt,Zermatt,46.016710,7.748280,,20.0,4
30847139,Hotel Eden Wellness,Zermatt,46.018490,7.749400,,30.0,4
31074902,Hilton Porto Gaia,Vila Nova de Gaia,41.135800,-8.618450,Hilton Hotels,194.0,5
31104164,Welcome Hotel Täsch,Tasch,46.071913,7.777612,,,3
31197505,lyf Schönbrunn Vienna,Wien,48.168649,16.319851,,162.0,4.0
31201739,Hampton by Hilton Vienna City West,Vienna,48.186662,16.335832,Hampton by Hilton,355.0,3.0
31204277,Tribe Milano Malpensa,Vizzola Ticino,45.627650,8.702000,,240.0,4.0
31221241,Pullman Zagreb,Zagreb,45.755982,15.991316,,193.0,4.0
